Number,MainVerb,VerbCompliment,ControlNumber,PatternNumber
1,abide,by,27%69,3
2,accede,to,27%346,3
3,account,for,27%117,3
4,acquaint,with,30%132,23
5,act,on,27%264,3
6,act,out,19%15,2%4
7,act,out,20%129,2%6
8,act,up,22%86,1
9,act,up,22%87,1
10,add,in,14%39,2%4
11,add,on,17%5,2%4
12,add,together,29%52,2%4
13,add,together,29%53,2%4
14,add,up,17%120,2%4
15,add,up,17%121,1
16,add,up to,17%159,3
17,add,up to,17%160,3
18,adhere,to,21%45,3
19,adhere,to,27%371,3
20,admit,of,33%49,2
21,agree,to,27%350,3
22,agree,with,30%168,3
23,agree,with,33%77,3
24,aim,at,27%29,23
25,aim,at,27%30,5
26,allow,for,27%115,3
27,allow,for,27%116,21
28,amount,to,17%30,2
29,angle,for,27%93,3
30,answer,back,26%2,1
31,answer,for,27%144,3
32,answer,to,27%362,3
33,answer,to,33%68,3
34,answer,to,33%69,3
35,apprise,of,27%188,5
36,approve,of,27%193,3
37,argue,down,8%31,4
38,argue,out,24%127,2%4
39,argue,out of,10%60,5
40,arse,around,2%74,1
41,ask,after,27%13,3
42,ask,around,2%63,8
43,ask,for,27%132,3
44,ask,for,27%133,2%1
45,ask,in,14%17,4
46,ask,into,14%178,5
47,ask,out,13%26,2%4
48,ask,over,3%65,4
49,ask,around,3%69,4
50,aspire,to,27%345,3
51,attend,to,27%357,3
52,auction,off,28%76,2%4
53,average,out,28%76,2%4
54,average,out,28%77,1
55,back,away,4%29,1
56,back,away,4%30,1
57,back,away,4%34,1
58,back,down,24%16,1
59,back,off,9%69,1
60,back,onto,6%38,3
61,back,out,9%96,1
62,back,up,3%79,9%4
63,back,up,10%78,2%4
64,back,up,10%79,2%4
65,bag,up,21%89,2%4
66,bail,out,13%83,2%4
67,bail,out,13%84,2%4
68,bail,out,13%85,1
69,bail,out,13%86,9%4
70,bail,out,13%87,17
71,balance,against,28%1,5
72,balance,out,28%78,1
73,balance,up,28%118,1
74,balk[baulk],at,9%18,3
75,balls,up,22%15,2%4
76,band,together,30%99,1
77,bandage,up,22%49,2%4
78,bandy,around,2%89,2%4
79,bang,about,2%5,1
80,bang,away,25%54,1
81,bang,into,6%8,3
82,bang,on,25%82,1
83,bang,out,20%82,2%4
84,bank,on,27%260,3
85,bank,up,17%75,2%4
86,bargain,for,27%112,3
87,bargain,on,27%258,3
88,barge,in on,14%142,3
89,barge,into,6%11,3
90,barge,into,14%167,3
91,barge,through,2%133,3
92,bark,out,20%63,11
93,base,on,33%58,16
94,bash,in,14%138,2%4
95,bash,on,25%71,1
96,bash,up,7%78,2%4
97,batter,down,17%98,2%4
98,bawl,out,20%67,2%4
99,bawl,out,20%68,9%4
100,bear,down on,3%19,3
101,bear,on,27%232,3
102,bear,out,25%134,2%4
103,beat,back,7%35,2%6
104,beat,down,15%45,1
105,beat,down,18%34,2%4
106,beat,down,18%35,2%4
107,beat,off,11%6,2%6
108,beat,on,7%57,3
109,beat,out,20%90,2%4
110,beat,out,24%83,2%4
111,beat,up on,7%81,3
112,beat,up,7%75,2%4
113,beaver,away,25%42,1
114,become,of,20%27,3
115,bed,down,15%102,1
116,bed,out,28%72,2%4
117,beef,up,17%41,2%4
118,beg,off,9%80,1
119,begin,by,27%72,27
120,begin,with,30%142,29
121,believe,in,27%153,3
122,believe,in,27%154,3
123,belly,out,17%24,1
124,belong,to,33%63,3
125,belong,to,33%64,3
126,belt,up,21%52,1
127,bend,down,1%25,1
128,bend,over,1%63,1
129,bet,on,27%241,3
130,bet,on,27%242,3
131,bind,up,21%51,2%4
132,bite,back,8%1,2%4
133,bite,into,14%194,3
134,black,out,31%273,2%4
135,black,out,32%68,1
136,black,out,32%69,2%6
137,blare,out,20%87,2%6
138,blast,away,25%55,1
139,blast,off,4%58,1
140,blast,out,20%85,2%6
141,blast,out,20%86,1
142,blaze,away,25%56,1
143,blaze,up,17%66,1
144,blend,in,14%93,1
145,blend,into,32%21,3
146,block,in,14%134,2%4
147,block,in,31%93,4
148,block,off,31%211,2%4
149,block,out,31%268,2%4
150,block,out,31%269,2%6
151,block,out,31%270,2%4
152,block,up,31%292,2%4
153,block,up,31%293,1
154,block,up,31%294,2%4
155,blot,out,31%271,2%4
156,blot,out,31%272,2%4
157,blot,up,22%112,2%4
158,blow,around,2%35,8
159,blow,away,4%28,1
160,blow,away,31%43,2%4
161,blow,back,26%23,1
162,blow,down,15%87,2%4
163,blow,down,15%88,1
164,blow,off,12%51,15%2
165,blow,off,12%52,8
166,blow,off,31%136,2%4
167,blow,out,24%78,2%4
168,blow,out,24%79,1
169,blow,over,1%57,2%4
170,blow,over,25%152,1
171,blow,up,17%43,2%4
172,blow,up,17%44,2%4
173,blow,up,17%45,1
174,blow,up,22%128,2%4
175,blow,up,22%129,1
176,blow,up,32%113,1
177,blurt,out,20%64,2%4
178,board,out,28%40,2%4
179,board,up,31%295,2%4
180,bob,around,2%33,1
181,bob,up,1%72,1
182,boil,away,25%60,1
183,boil,down,18%64,2%4
184,boil,down,18%65,1
185,boil,down,18%66,2%4
186,boil,down to,27%77,3
187,boil,over,12%109,1
188,boil,over,12%110,1
189,boil,up,17%58,1
190,boil,up,22%47,2%4
191,bolster,up,10%73,2%6
192,bolt,down,15%65,2%4
193,bomb,along,25%23,8
194,bomb,out,18%123,2%4
195,bone,up on,17%156,3
196,book,in,3%28,1
197,book,in,3%29,4
198,book,into,14%188,3
199,book,into,14%189,5
200,book,up,22%100,23
201,book,up,22%101,23
202,boom,out,20%93,1
203,boom,out,20%94,2%6
204,boot,out,13%63,2%4
205,border,on,6%27,3
206,botch,up,22%12,2%4
207,bottle,up,21%68,2%4
208,bottom,out,18%109,1
209,bounce,back,26%21,1
210,bow,down,1%27,1
211,bow,down,1%28,1
212,bow,out,9%93,1
213,bow,to,27%348,3
214,box,in,31%92,2%4
215,box,off,31%212,2%4
216,box,up,21%90,2%4
217,branch,off,31%191,8
218,branch,out,17%16,1
219,brave,out,25%135,2%4
220,brazen,out,25%136,24
221,break,away,4%21,1
222,break,away,4%22,1
223,break,away,31%63,1
224,break,away,31%64,1
225,break,away from,31%72,3
226,break,down,15%72,1
227,break,down,15%73,1
228,break,down,15%74,1
229,break,down,15%75,2%4
230,break,down,18%75,18%4
231,break,down,18%76,1
232,break,in,14%30,1
233,break,in,23%10,2%4
234,break,in on,14%141,3
235,break,into,14%168,3
236,break,into,14%169,3
237,break,into,23%28,2
238,break,into,30%69,3
239,break,into,32%32,5
240,break,off,24%51,1
241,break,off,24%52,2%4
242,break,off,24%53,2%4
243,break,off,31%121,2%4
244,break,off,31%122,1
245,break,out,13%45,1
246,break,out,19%12,1
247,break,out,20%75,1
248,break,out,23%67,1
249,break,out in,20%137,2
250,break,out in,20%138,2
251,break,out of,24%138,3
252,break,through,2%134,3
253,break,through,19%27,3
254,break,through,25%205,3
255,break,up,31%283,1
256,break,up,31%284,2%4
257,break,up,31%285,1
258,break,up,31%286,2%4
259,break,up,31%287,1
260,break,up,31%288,1
261,break,with,24%209,3
262,break,with,24%210,3
263,breathe,in,14%64,1
264,breathe,out,13%79,9
265,breeze,in,14%43,1
266,breeze,out,13%9,1
267,brew,up,22%50,9
268,brew,up,23%93,1
269,brick,off,31%214,2%4
270,brighten,up,17%65,2%4
271,brighten,up,17%91,1
272,brim,over,12%107,1
273,brim,over,12%108,1
274,bring,about,20%2,2%4
275,bring,along,30%1,2%4
276,bring,around,10%8,4
277,bring,around,32%7,4
278,bring,back,26%31,2%6
279,bring,back,26%37,2%6
280,bring,down,15%82,2%4
281,bring,down,15%83,2%4
282,bring,down,18%39,2%4
283,bring,down,18%40,4
284,bring,forth,20%8,2%6
285,bring,forward,20%11,2%4
286,bring,in,14%105,2%4
287,bring,in,14%106,2
288,bring,in,14%107,2%4
289,bring,in,23%18,2%4
290,bring,into,30%52,5
291,bring,into,30%53,5
292,bring,off,24%31,2%4
293,bring,on,20%49,2%4
294,bring,on,20%50,21
295,bring,on,25%118,2%4
296,bring,out,10%57,4
297,bring,out,20%109,2%4
298,bring,out,20%110,2
299,bring,out,20%111,2
300,bring,out,20%112,2%6
301,bring,out,20%113,2%6
302,bring,out in,20%140,16
303,bring,over,3%67,2%4
304,bring,to,32%93,4
305,bring,together,29%59,2%4
306,bring,up,16%26,2%4
307,bring,up,17%145,2%4
308,bring,up,20%146,2%4
309,bristle,with,33%82,3
310,bristle,with,33%83,1
311,bristle,with,33%84,2
312,broaden,out,17%15,1
313,brood,on,27%210,3
314,brood,over,27%321,3
315,brown,off,32%52,23
316,brush,aside,9%7,2%4
317,brush,away,9%20,2%4
318,brush,by,2%106,8
319,brush,down,12%11,2%4
320,brush,off,9%59,4
321,brush,off,9%60,2%4
322,brush,off,9%61,2%4
323,brush,off on,33%54,3
324,brush,out,28%44,2%4
325,brush,past,2%125,8
326,brush,up,17%142,2%4
327,bubble,up,16%32,1
328,buck,up,17%110,2%4
329,buck,up,17%111,1
330,buckle,down,23%5,1
331,buckle,in,21%10,2%4
332,buckle,into,21%21,5
333,buckle,on,21%31,2%4
334,buckle,under,8%66,1
335,budget,for,27%113,3
336,bugger,around,2%76,1
337,bugger,around,2%77,4
338,bugger,off,4%78,1
339,build,in,14%59,2%4
340,build,into,14%177,5
341,build,on,33%59,5
342,build,on,33%60,3
343,build,up,17%33,2%4
344,bum,around,2%39,8
345,bump,into,6%9,3
346,bump,into,6%10,3
347,bump,off,24%69,2%4
348,bump,up,17%131,2%4
349,bump,up against,6%47,3
350,bunch,up,21%77,2%4
351,bundle,off,4%86,4
352,bundle,up,21%92,2%4
353,bundle,up,21%93,20
354,bundle,up,21%94,2%4
355,buoy,up,10%74,4
356,buoy,up,10%75,2%4
357,buoy,up,16%13,2%4
358,burn,down,15%85,2%4
359,burn,down,15%86,1
360,burn,off,12%38,2%4
361,burn,off,31%167,2%4
362,burn,out,18%117,20
363,burn,out,18%118,20
364,burn,up,22%130,1
365,burn,up,22%131,2%6
366,burn,up,22%132,4
367,burst,in on,14%140,3
368,burst,into,23%29,2
369,burst,into,23%30,2
370,burst,into,23%31,2
371,burst,out,20%63,11
372,bury,away,29%8,23
373,bury,in,27%165,22
374,bust,out,13%46,1
375,bust,up,22%22,2%6
376,bust,up,31%289,1
377,bust,up,31%290,1
378,bustle,around,2%42,8
379,butt,in,30%30,1
380,butt,out,13%48,1
381,butter,up,10%70,2%4
382,button,up,21%66,2%4
383,buy,in,29%30,2%4
384,buy,into,30%64,28
385,buy,out,13%36,4
386,buy,out,31%238,2%4
387,buy,over,10%66,4
388,buy,up,29%64,2%4
389,buzz,around,2%31,8
390,buzz,off,4%74,1
391,call,after,33%2,5
392,call,away,31%67,4
393,call,back,26%68,17
394,call,back,26%69,1
395,call,by,3%10,1
396,call,down on,8%45,21
397,call,for,27%98,3
398,call,for,27%119,3
399,call,forth,20%9,2%6
400,call,in,3%22,1
401,call,in,3%23,2%4
402,call,in,14%62,2%4
403,call,off,24%72,2%4
404,call,off,24%73,2%4
405,call,on,3%51,3
406,call,on,20%52,2
407,call,out,13%28,2%4
408,call,out,20%61,2%4
409,call,out for,20%136,3
410,call,over,3%59,1
411,call,over,3%60,2%4
412,call,round,3%68,1
413,call,up,20%156,2%4
414,call,up,29%72,2%4
415,call,up,29%73,2%6
416,calm,down,18%48,2%4
417,calm,down,18%49,20
418,calm,down,18%50,2%4
419,calm,down,18%51,1
420,camp,out,5%73,1
421,cancel,out,28%79,1
422,care,for,27%130,3
423,care,for,27%148,3
424,carry,away,32%9,23
425,carry,back,26%39,2%6
426,carry,off,24%30,2%4
427,carry,off,31%146,2%4
428,carry,on,25%80,1
429,carry,on,25%105,2
430,carry,on,25%106,11
431,carry,on,30%80,1
432,carry,out,24%99,2%4
433,carry,out,27%303,2%4
434,carry,over,32%81,2%4
435,carry,through,25%182,5
436,carry,through,25%204,2%4
437,cart,off,31%148,2%4
438,cart,off,31%149,2%4
439,carve,out,12%103,2%4
440,carve,out,31%236,2%4
441,carve,up,22%24,4
442,carve,up,31%282,2%4
443,cash,in,14%128,2%4
444,cash,in on,27%179,3
445,cast,aside,9%10,2%4
446,cast,away,31%24,2%4
447,cast,back,26%42,4
448,cast,down,15%28,23
449,cast,down,15%29,2%18
450,cast,off,31%155,2%4
451,cast,off,31%200,8
452,cast,on,21%35,9
453,cast,out,13%64,2%4
454,cast,up,16%39,2%4
455,catch,on,21%40,1
456,catch,on,21%41,1
457,catch,out,7%71,4
458,catch,up,3%83,1
459,catch,up,3%84,4
460,catch,up,17%148,1
461,catch,up in,30%117,23
462,catch,up in,30%118,23
463,catch,up on,17%158,3
464,catch,up with,3%92,3
465,catch,up with,3%93,3
466,cater,to,27%356,3
467,cave,in,8%50,1
468,cave,in,14%139,1
469,centre[center],around,27%22,3
470,centre[center],on,27%229,3
471,chain,up,21%56,2%4
472,chalk,up,17%117,2%6
473,chance,on,6%19,3
474,change,down,18%77,1
475,change,over,32%82,1
476,change,up,17%85,1
477,chase,after,2%14,3
478,chase,off,11%10,2%4
479,chat,up,22%84,2%4
480,cheat,on,27%273,3
481,cheat,on,27%274,3
482,check,in,3%30,1
483,check,in,3%31,4
484,check,into,14%186,3
485,check,into,14%187,5
486,check,off,31%111,2%4
487,check,out,13%33,1
488,check,out,27%300,2%4
489,check,out,28%30,2%4
490,check,up,22%138,1
491,cheer,on,10%32,2%4
492,cheer,up,17%112,1
493,cheer,up,17%113,2%4
494,cheese,off,32%50,4
495,chew,on,27%220,3
496,chew,over,27%322,2%4
497,chew,up,22%29,2%4
498,chicken,out,9%90,1
499,chime,in,14%47,1
500,chime,in with,30%40,3
501,chip,in,14%48,1
502,chip,in,29%33,1
503,chip,off,12%32,15%2
504,chip,off,12%33,1
505,choke,back,8%2,2%4
506,choke,down,8%13,2%4
507,chop,down,15%92,2%4
508,chop,off,31%123,2%4
509,chop,up,22%30,2%4
510,chuck,away,31%26,2%4
511,chuck,in,24%163,2%4
512,chuck,out,13%62,2%4
513,chuck,up,24%163,2%4
514,churn,up,22%18,2%4
515,churn,up,22%19,1
516,clam,up,24%184,9%6
517,clamp,down,8%19,1
518,clap,out,20%91,2%4
519,class,among,33%7,5
520,claw,at,7%29,3
521,claw,back,26%52,2%4
522,clean,down,12%8,2%4
523,clean,out,13%91,2%4
524,clean,out,13%92,2%4
525,clean,out,13%93,2%4
526,clean,up,22%65,2%4
527,clean,up,22%66,9%4
528,clean,up,22%67,2%4
529,clean,up,22%68,1
530,clear,away,31%34,9%4
531,clear,off,4%71,1
532,clear,out,13%69,2%4
533,clear,out,13%97,1
534,clear,up,22%64,9%4
535,clear,up,22%77,1
536,clear,up,24%171,2%4
537,climb,down,24%15,1
538,clock,in,3%27,1
539,clock,off,24%48,1
540,clock,out,13%34,1
541,clock,up,31%299,1
542,clog,up,31%299,1
543,clog,up,31%300,23
544,close,down,24%7,2%4
545,close,down,24%8,1
546,close,down,24%9,1
547,close,in,3%42,1
548,close,in,3%43,1
549,close,off,31%205,2%4
550,close,on,3%53,3
551,close,out,31%274,2%6
552,close,up,6%46,1
553,close,up,24%165,1
554,close,up,24%166,2%4
555,close,up,24%167,1
556,cloud,over,12%126,1
557,cloud,over,12%127,1
558,club,together,29%54,1
559,clue,up,22%148,23
560,cluster,around,27%23,3
561,clutter,up,22%94,2%4
562,coax,into,10%19,5
563,cobble,together,29%47,2%4
564,cock,up,22%14,2%4
565,coil,up,21%79,2%4
566,coil,up,21%80,1
567,collect,up,29%76,2%4
568,colour[color],in,14%129,2%4
569,comb,out,28%45,2%4
570,come,about,20%1,1
571,come,across,2%9,8
572,come,across,6%1,3
573,come,across,27%4,1
574,come,across,27%5,1
575,come,after,2%12,3
576,come,along,10%3,1
577,come,along,25%15,8
578,come,along,25%16,1
579,come,along,25%17,1
580,come,along,30%2,1
581,come,apart,31%3,1
582,come,around,3%5,1
583,come,around,3%6,1
584,come,around,32%5,1
585,come,around,32%6,1
586,come,at,7%20,3
587,come,away,4%14,1
588,come,away,4%15,1
589,come,away,31%65,1
590,come,away with,4%43,3
591,come,back,26%11,1
592,come,back,26%38,1
593,come,back to,26%83,3
594,come,before,19%7,3
595,come,between,9%50,3
596,come,by,3%9,1
597,come,by,6%4,3
598,come,down,15%3,3
599,come,down,15%4,1
600,come,down,15%5,1
601,come,down,15%6,1
602,come,down,15%7,14
603,come,down,15%8,1
604,come,down,15%128,1
605,come,down,18%18,1
606,come,down on,8%44,3
607,come,down to,27%78,3
608,come,down with,15%132,3
609,come,for,27%97,3
610,come,forth,20%7,1
611,come,forward,20%12,1
612,come,from,20%14,3
613,come,from,20%15,2
614,come,in,3%34,1
615,come,in,14%9,1
616,come,in,14%10,14
617,come,in,23%7,1
618,come,in,33%37,14
619,come,in for,27%169,3
620,come,in on,30%34,3
621,come,into,3%49,2
622,come,into,14%153,3
623,come,into,27%186,2
624,come,into,30%61,3
625,come,into,32%28,2
626,come,into,32%29,3
627,come,of,20%25,2
628,come,of,27%192,3
629,come,off,12%19,8
630,come,off,24%35,1
631,come,off,24%36,14
632,come,off,24%57,3
633,come,off,31%134,3
634,come,off,31%135,8
635,come,on,3%54,1
636,come,on,3%55,1
637,come,on,6%21,3
638,come,on,6%22,3
639,come,on,10%30,1
640,come,on,20%51,2
641,come,on,23%58,9
642,come,on,23%59,1
643,come,on,25%103,1
644,come,on,25%104,1
645,come,on,27%271,14
646,come,onto,3%56,3
647,come,onto,3%57,2
648,come,out,13%1,1
649,come,out,13%2,1
650,come,out,20%53,1
651,come,out,20%54,1
652,come,out,20%55,1
653,come,out,20%56,1
654,come,out,20%57,1
655,come,out,20%130,1
656,come,out,31%255,1
657,come,out against,7%73,3
658,come,out for,10%58,3
659,come,out in,20%139,2
660,come,out of,20%143,3
661,come,out with,20%144,3
662,come,over,3%61,1
663,come,over,3%62,1
664,come,over,27%314,1
665,come,over,27%315,1
666,come,over,32%78,3
667,come,through,19%28,3
668,come,through,24%151,1
669,come,through,25%196,3
670,come,to,17%32,2
671,come,to,32%92,1
672,come,under,8%68,2
673,come,under,33%75,1
674,come,under,33%76,2
675,come,up,3%73,1
676,come,up,16%5,1
677,come,up,16%37,1
678,come,up,16%38,14
679,come,up,23%84,1
680,come,up against,6%49,3
681,come,up to,3%89,3
682,come,up with,24%205,3
683,come,up with,24%206,3
684,come,upon,6%51,3
685,confide,in,27%155,3
686,conjure,up,20%147,2%4
687,conk,out,24%90,1
688,contract,in,14%52,1
689,contract,out,28%38,2%4
690,cook,up,22%45,2%4
691,cook,up,22%46,2%4
692,cool,down,18%54,1
693,cool,down,18%79,1
694,cool,down,18%80,2%4
695,cool,off,18%98,1
696,coop,up,31%304,23
697,cop,out,9%91,1
698,copy,down,15%49,2%4
699,copy,out,20%125,2%4
700,cordon,off,31%208,2%4
701,cotton,on,32%55,1
702,couch,in,33%34,16
703,cough,up,16%28,2%4
704,cough,up,16%29,9%4
705,count,against,28%7,3
706,count,among,33%4,5
707,count,down,18%37,1
708,count,down,18%38,2%6
709,count,for,27%118,3
710,count,in,30%21,4
711,count,on,27%261,3
712,count,out,28%63,2%4
713,count,out,31%243,4
714,count,towards,29%61,3
715,count,up,17%123,2%4
716,cover,over,12%120,2%4
717,cover,up,31%309,9%4
718,crack,down,8%22,1
719,crack,up,32%114,1
720,crack,up,32%115,1
721,crash,around,2%47,1
722,crash,into,6%15,3
723,crash,out,20%89,1
724,crash,out,32%61,1
725,crate,up,21%91,2%4
726,cream,off,31%137,2%4
727,crease,up,1%86,1
728,crease,up,1%87,4
729,crease,up,32%125,18%4
730,crease,up,32%126,18%4
731,creep,in,23%8,1
732,creep,into,23%21,4
733,creep,up,3%82,1
734,crop,up,16%36,1
735,cross,off,31%113,15%2
736,cross,out,31%220,2%4
737,cross,over,2%121,3
738,crouch,down,1%37,1
739,crowd,in,14%53,1
740,crowd,in on,27%180,3
741,crowd,into,14%161,3
742,crowd,out,31%244,1
743,crumple,up,32%124,18%4
744,cry,off,9%77,1
745,cry,out,20%59,3
746,cry,out,20%60,1
747,cry,out for,20%135,3
748,cuddle,up,6%39,1
749,cuddle,up,6%40,1
750,curl,up,1%88,1
751,curtain,off,31%216,2%4
752,cut,across,2%11,3
753,cut,away,31%51,2%4
754,cut,back,26%71,1
755,cut,down,15%91,2%4
756,cut,down,18%28,1
757,cut,in,14%49,4%1
758,cut,in,30%31,1
759,cut,in on,30%33,5
760,cut,off,12%50,2%4
761,cut,off,24%54,2%4
762,cut,off,24%55,2%4
763,cut,out,24%87,2%4%24
764,cut,out,24%88,1
765,cut,out,31%229,2%4
766,cut,out,31%230,2%4
767,cut,out,31%266,4
768,cut,out,31%267,2%4
769,cut,through,2%138,3
770,cut,through,2%139,3
771,cut,up,22%31,2%4
772,cut,up,32%107,23
773,dab,at,27%60,3
774,dab,on,12%83,15
775,dally,with,30%160,3
776,dam,up,21%67,2%4
777,dam,up,31%301,2%4
778,damp,down,15%36,2%4
779,damp,down,18%81,2%4
780,dampen,down,15%36,2%4
781,damp(en),down,18%62,2%4
782,date,back,26%44,2
783,dawn,on,32%54,3
784,deal,in,27%157,3
785,dead,out,28%36,2%4
786,dead,out,28%37,2
787,deal,with,30%139,3
788,deal,with,30%140,3
789,deal,with,30%141,3
790,debar,from,31%85,5
791,deck,out,19%23,2%4
792,deck,out,29%37,4
793,defer,to,27%375,3
794,delight,in,27%159,3
795,deliver,of,20%26,22
796,deliver,of,20%27,3
797,deliver,up,22%145,2%4
798,delve,into,30%76,3
799,depart,from,31%88,3
800,depend,on,27%259,3
801,deprive,of,31%105,5
802,derive,from,10%16,5
803,descend,on,3%50,3
804,deter,from,10%16,5
805,deviate,from,31%87,3
806,devolve,on,27%265,3
807,dictate,to,27%363,3
808,dictate,to,27%364,3
809,die,away,18%2,1
810,die,back,26%75,1
811,die,down,18%53,1
812,die,off,24%65,1
813,die,out,18%108,1
814,dig,in,14%95,1
815,dig,in,14%96,2%4
816,dig,in,14%97,1
817,dig,into,14%176,3
818,dig,into,30%77,3
819,dig,out,13%107,2%4
820,dig,up,16%52,2%4
821,dig,up,20%153,2%4
822,din,into,14%204,16
823,dine,off,31%183,3
824,dine,on,27%237,3
825,dine,out,5%70,1
826,dip,into,14%174,3
827,dip,into,14%175,3
828,disagree,with,30%169,3
829,disagree,with,33%78,1
830,disapprove,of,27%195,3
831,dish,out,28%100,2%4
832,dish,out,28%21,2%4
833,dish,up,28%100,2%4
834,dispose,of,31%102,3
835,dissociate,from,31%80,22
836,dive,in,23%13,1
837,dive,into,23%32,3
838,divest,of,31%107,22
839,divest,of,31%108,22
840,divest,of,31%109,5
841,divide,into,30%51,5
842,divide,off,31%206,2%4
843,divide,up,28%102,2%4
844,divide,up,28%103,2%4
845,do,as,33%15,2
846,do,away with,31%73,3
847,do,away with,31%74,3
848,do,down,8%42,4
849,do,for,24%17,23
850,do,for,33%21,3
851,do,in,31%100,2%4
852,do,in,31%101,7
853,do,in,32%13,4
854,do,out,29%39,4
855,do,out of,31%281,5
856,do,over,26%91,4
857,do,over,26%92,2%6
858,do,up,21%59,2%4
859,do,up,21%60,2%4
860,do,with,5%86,3
861,do,with,30%161,3
862,do,without,5%87,3
863,dole,out,28%19,2%4
864,doll,up,19%41,23
865,dope,up,22%146,23
866,dose,up,22%147,4
867,doss,down,15%104,1
868,dote,on,27%213,3
869,double,back,26%9,1
870,double,over,1%62,1
871,double,up,1%85,1
872,doze,off,32%40,1
873,drag,along,25%27,1
874,drag,down,18%23,2%4
875,drag,down,18%60,4
876,drag,in,14%116,2%4
877,drag,into,30%74,5
878,drag,on,25%75,1
879,drag,out,10%53,4
880,drag,out,24%112,2%4
881,drag,up,20%154,2%4
882,draw,back,2%102,1
883,draw,back,9%46,1
884,draw,in,3%40,1
885,draw,in,3%41,1
886,draw,in,14%65,2
887,draw,into,30%72,5
888,draw,off,31%140,2%4
889,draw,on,25%97,1
890,draw,on,27%233,3
891,draw,out,4%102,1
892,draw,out,10%51,4
893,draw,out,10%52,2%4
894,draw,out,24%113,2%4
895,draw,out,24%114,2%4
896,draw,out,24%115,1
897,draw,up,1%78,7
898,draw,up,3%77,1
899,draw,up,22%135,2%4
900,dream,of,27%194,3
901,dream,up,20%148,2%6
902,dredge,up,20%155,2%4
903,dress,down,8%41,4
904,dress,up,19%43,20%4
905,dress,up,19%44,1
906,drift,along,25%28,1
907,drift,apart,31%1,1
908,drift,around,2%36,1
909,drift,off,32%38,1
910,drill,into,14%206,2
911,drink,down,15%63,2%4
912,drink,in,14%66,2%4
913,drink,to,27%352,3
914,drink,up,24%197,9%4
915,drive,at,27%45,3
916,drive,away,4%11,1
917,drive,away,9%21,2%4
918,drive,into,6%14,3
919,drive,off,9%68,2%4
920,drive,out,13%55,2%4
921,drone,on,25%79,1
922,drool,over,27%328,3
923,drop,around,3%4,1
924,drop,by,3%11,1
925,drop,in,3%26,1
926,drop,off,31%129,8
927,drop,off,31%171,4
928,drop,off,32%41,1
929,drop,out,9%95,1
930,drop,out,24%93,1
931,drown,out,31%277,2%4
932,drum,into,14%205,16
933,drum,out,13%67,4
934,drum,out,13%68,23
935,drum,up,29%81,2
936,dry,off,12%54,4
937,dry,off,12%55,1
938,dry,out,18%119,1
939,dry,out,32%66,1
940,dry,up,22%122,9%4
941,dry,up,22%123,1
942,dry,up,24%182,2%4
943,dry,up,24%194,1
944,dry,up,24%195,1
945,dub,in,14%91,2%4
946,dub,into,32%30,16
947,duck,out,9%92,1
948,dump,on,7%56,3
949,dust,down,12%10,2%4
950,dust,off,12%27,2%4
951,dwell,on,27%209,3
952,earmark,for,27%123,5
953,ease,off,12%68,15
954,ease,off,18%97,1
955,ease,up,18%125,1
956,eat,away,31%53,2%4
957,eat,away,31%54,4
958,eat,in,5%52,1
959,eat,into,14%195,3
960,eat,into,14%196,3
961,eat,out,5%69,1
962,eat,up,22%118,2%4
963,eat,up,24%198,2%4
964,eat,up,24%199,2%4
965,ebb,away,18%7,1
966,edit,out,31%234,2%4
967,egg,on,10%35,2%4
968,eke,out,25%131,2
969,eke,out,25%132,2%4
970,elaborate,on,17%8,3
971,emanate,from,20%19,3
972,embark,on,23%49,3
973,embroider,on,17%7,3
974,empty,out,13%99,2%4
975,encroach,on,6%35,3
976,end,up,24%188,11
977,end,up,24%189,1
978,endow,with,33%79,16
979,engage,in,30%25,4
980,engage,in,30%26,2
981,enlarge,on,17%2,3
982,enter,for,27%107,3
983,enter,into,30%67,3
984,enter,into,30%68,3
985,enter,on,23%50,3
986,erode,away,31%55,4
987,erode,away,31%56,1
988,even,out,28%80,2%4
989,even,up,28%116,2%4
990,expand,on,17%3,3
991,explain,away,9%32,2%4
992,eye,up,22%85,2%4
993,face,about,1%1,1
994,face,down,8%28,2%4
995,face,out,25%137,2%4
996,face,up to,11%34,3
997,fade,away,4%25,1
998,fall,about,2%4,11
999,fall,apart,31%12,1
1000,fall,apart,31%13,1
1001,fall,away,18%1,1
1002,fall,away,31%62,1
1003,fall,back,2%104,1
1004,fall,back,26%8,1
1005,fall,back on,26%79,3
1006,fall,behind,5%43,8
1007,fall,down,1%31,1
1008,fall,down,15%78,1
1009,fall,for,27%110,3
1010,fall,for,27%111,3
1011,fall,in with,30%41,3
1012,fall,in with,30%42,3
1013,fall,into,23%23,2
1014,fall,into,30%46,3
1015,fall,into,32%23,2
1016,fall,into,32%24,2
1017,fall,off,12%21,8
1018,fall,off,31%131,8
1019,fall,on,7%55,3
1020,fall,on,12%97,3
1021,fall,on,12%98,3
1022,fall,on,27%202,3
1023,fall,on,27%203,3
1024,fall,out,13%77,1
1025,fall,out,31%246,1
1026,fall,over,1%51,1
1027,fall,over,1%52,10
1028,fall,through,24%152,1
1029,fall,to,23%71,11
1030,fall,to,27%349,3
1031,fall,under,33%74,3
1032,fan,out,17%17,1
